

Method,CTCP
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
5.08869,0,0,2.125,2,8191,0,219,0,4.33306
4.4598,0,0,3.469,2,8190,0,196,0,4.29811
4.8097,0,0,2.52,2,8189,0,211,0,4.26317
5.17075,0,0,2.461,2,8189,0,224,0,3.92538
5.64818,0,0,2.184,2,8191,0,244,0,3.79725
5.24049,0,0,3.048,2,8189,0,227,0,5.34643
4.55344,0,0,2.489,2,8189,0,199,0,7.61779
5.8114,0,0,2.133,2,8189,0,250,0,4.33306
5.08942,0,0,2.723,2,8191,0,219,0,5.14842
5.05428,0,0,2.847,2,8189,0,219,0,10.6579
5.05452,0,0,3.157,2,8191,0,220,0,7.07034
4.99597,0,0,2.753,2,8191,0,216,0,3.73901
5.19432,0,0,2.401,2,8191,0,224,0,6.37146
4.91497,0,0,2.404,2,8191,0,213,0,8.78259
5.08957,0,0,2.364,2,8189,0,219,0,4.56602
5.74162,0,0,3.521,2,8189,0,248,0,3.40122
5.83451,0,0,2.353,2,8189,0,251,0,4.6825
5.74142,0,0,2.393,2,8189,0,247,0,12.7196
5.58989,0,0,2.094,2,8189,0,241,0,11.648
5.13587,0,0,2.27,2,8189,0,223,0,15.7132
5.07778,0,0,2.114,2,8189,0,219,0,8.60787
4.87962,0,0,2.891,2,8189,0,213,0,4.3913
4.22737,0,0,2.806,2,8189,0,187,0,3.86714
5.19398,0,0,2.456,2,8189,0,224,0,3.42451
5.38069,0,0,2.479,2,8189,0,232,0,3.93702
5.2524,0,0,2.297,2,8191,0,226,0,3.34298
4.89154,0,0,2.368,2,8189,0,214,0,3.24979
5.47393,0,0,2.884,2,8189,0,236,0,13.1739
4.18118,0,0,4.114,2,8191,0,182,0,17.274
5.1478,0,0,2.868,2,8189,0,223,0,6.6743
4.77494,0,0,2.939,2,8189,0,208,0,5.25325
4.90287,0,0,2.58,2,8189,0,212,0,7.11693
4.11109,0,0,2.578,2,8189,0,177,0,13.2321
5.5083,0,0,2.456,2,8191,0,239,0,6.48794
5.06585,0,0,2.454,2,8189,0,219,0,4.06515
4.98425,0,0,2.813,2,8191,0,214,0,3.30803
4.08745,0,0,2.92,2,8191,0,178,0,3.55264
4.91433,0,0,2.764,2,8191,0,212,0,4.9737
4.84454,0,0,2.178,2,8191,0,210,0,7.34989
5.00778,0,0,2.394,2,8191,0,217,0,6.32486
4.83312,0,0,2.554,2,8189,0,210,0,4.64755
5.05467,0,0,2.589,2,8189,0,218,0,3.92538
4.53045,0,0,2.28,2,8191,0,199,0,3.56429
4.4955,0,0,2.841,2,8191,0,197,0,3.82054
4.67024,0,0,3.841,2,8189,0,203,0,4.44954
4.98473,0,0,2.18,2,8191,0,215,0,4.93875
5.04299,0,0,2.215,2,8189,0,219,0,3.87878
5.26365,0,0,2.543,2,8189,0,227,0,4.46118
5.12406,0,0,2.567,2,8189,0,223,0,5.5561
5.14757,0,0,3.237,2,8191,0,222,0,4.78733
5.07745,0,0,2.263,2,8189,0,219,0,5.59104
6.00912,0,0,1.975,2,8189,0,258,0,17.1342
5.26405,0,0,2.329,2,8191,0,227,0,20.7101
5.2522,0,0,2.756,2,8191,0,228,0,10.9841
4.64661,0,0,2.411,2,8189,0,200,0,4.81062
5.31044,0,0,3.027,2,8191,0,229,0,4.25152
5.0311,0,0,2.339,2,8189,0,219,0,6.95386
6.03276,0,0,2.655,2,8189,0,259,0,15.8413
5.74151,0,0,2.248,2,8191,0,247,0,13.0225
5.31083,0,0,2.114,2,8191,0,230,0,3.45946
5.63702,0,0,2.275,2,8189,0,244,0,3.64582
5.48539,0,0,2.691,2,8189,0,236,0,4.83392
5.62461,0,0,2.774,2,8189,0,242,0,5.2649
5.3455,0,0,1.859,2,8190,0,231,0,5.90554
5.05381,0,0,2.119,2,8191,0,220,0,4.85722
