

Method,UDT
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
24.083,0,3,36.462,7398,8125,98.01,64,3,698.344
24.723,0,0,37.355,11469,8191,83.7166,65,0,1309.51
26.5511,0,2,48.958,10913,8115,103.569,67,2,260.007
28.9508,0,1,28.89,3869,8145,87.6479,71,1,1959.55
30.8264,0,1,24.999,6247,8162,45.2365,70,1,423.929
29.1841,0,0,27.776,5232,8176,44.9377,70,0,35.4682
32.3861,0,0,26.738,6507,8136,20.2522,74,0,1833.73
30.582,0,1,33.418,7428,8143,18.8168,71,1,2069.9
30.2444,0,1,32.231,1562,8127,20.6816,72,1,1773.69
28.5438,0,1,31.686,10225,8155,22.2125,69,1,649.458
26.0413,0,0,34.379,7170,8153,21.9123,65,0,1195.06
23.9324,0,3,42.766,8717,8156,32.3592,56,3,1624.62
26.577,0,3,31.924,5635,8178,40.9674,67,3,2032.76
26.3205,0,0,35.593,6149,8133,37.8562,64,0,846.984
31.1405,0,1,25.551,4167,8143,40.2497,77,1,35.9341
24.9906,0,1,39.121,11522,8173,39.9106,62,1,2718.5
27.7514,0,1,38.967,15369,8171,24.9374,68,1,1588.07
26.4594,0,2,30.481,8984,8191,29.2615,70,2,3059.43
29.9896,0,1,38.608,12816,8122,30.0751,64,1,2033.09
27.1476,0,3,35.187,13086,8190,42.985,72,3,74.8384
26.9497,0,1,55.939,5229,8147,47.6526,72,1,2606.15
25.4931,0,1,36.558,9230,8174,51.7363,69,1,85.0886
29.3124,0,0,34.023,8636,8166,50.5642,76,0,780.859
23.4788,0,2,26.154,8275,8177,64.0547,63,2,1323.46
21.743,0,2,41.882,2349,8174,68,56,2,289.418
22.3484,0,0,35.201,551,8155,57.2837,71,0,226.193
22.3836,0,10,41.98,10083,8151,162.322,56,10,1156.53
25.634,0,1,39.389,5816,8134,119.165,66,1,1304.37
27.3339,0,1,35.757,13077,8191,95.112,62,1,1866.96
23.2799,0,1,38.983,12039,8164,38.1621,62,1,3611.75
27.5766,0,1,38.021,7999,8151,38.912,76,1,133.929
21.0661,0,2,40.838,31048,8139,44,63,2,2354.61
20.5769,0,6,52.426,16013,8188,66.9102,58,6,263.885
19.3211,0,3,41.694,12247,8183,31.9971,59,3,1762.8
21.2065,0,4,47.529,9417,8100,35.9986,55,4,60.2435
20.4263,0,5,51.193,9089,8191,55.688,54,4,2341.07
22.0333,0,2,35.524,7961,8191,67.9213,65,2,56.7258
20.2405,0,6,50.186,22477,8148,125,57,6,35.771
21.533,0,3,32.368,11064,8144,57.2662,66,3,707.989
25.4933,0,4,40.242,7666,8148,87.1871,66,4,3441.49
23.7823,0,3,35.664,13227,8160,47.6004,65,3,2950.67
28.6976,0,1,32.768,6476,8170,36.5417,72,1,329.429
28.1613,0,2,36.246,12186,8168,44.8902,65,2,2766.92
24.8862,0,4,28.88,11599,8171,61.4247,63,4,817.014
13.9509,0,0,55.049,7595,8162,60.7864,32,0,48.6653
15.8724,0,7,472.612,44945,8166,77.9574,51,7,34.8508
14.1726,0,3,444.112,43846,8161,98.9606,57,3,34.2335
14.9993,0,5,107.919,13315,8178,141,70,5,35.0721
16.2694,0,6,128.378,17839,8182,226,47,6,95.1176
20.1003,0,5,48.454,9809,8181,277.229,66,5,38.6597
20.4146,0,6,53.783,18944,8183,192.875,57,6,3232.56
24.6652,0,3,163.634,36677,8169,81,58,3,772.961
19.3432,0,3,60.152,15784,8152,102,66,3,1515.93
22.453,0,1,30.105,9606,8156,107.593,60,1,34.548
18.3306,0,3,54.58,5724,8191,133.642,58,3,181.208
23.1532,0,3,35.244,2558,8191,184.72,64,3,44.4255
25.448,0,1,27.065,2204,8168,206.753,74,1,1319.72
25.7032,0,2,32.449,7768,8145,105.521,60,2,748.5
12.9728,0,4,78.315,6851,8146,140.327,44,4,51.5773
19.913,0,7,84.296,10884,8173,104.069,56,5,2880.47
19.5637,0,6,53.782,11351,8191,126.706,57,6,3152.51
18.0979,0,5,71.166,30241,8121,195.77,55,5,38.3103
15.6173,0,2,88.266,14662,8150,241.684,54,2,52.6257
23.362,0,4,45.688,12305,8155,385.954,65,4,38.5898
16.2225,0.0815203,2,24.575,8205,8146,65.0186,52,2,4028.24
0,0,0,24.575,8205,8146,65.0186,0,0,4028.24
0,0,0,24.575,8205,8146,65.0186,0,0,4028.24
0,0,0,24.575,8205,8146,65.0186,0,0,4028.24
0,0,0,24.575,8205,8146,65.0186,0,0,4028.24
0,0,0,24.575,8205,8146,65.0186,0,0,4028.24




Method,UDT
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
