

Method,CUDPBlast
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
17.4818,0,3,44.877,83333,8169,0,51,3,48.6071
28.405,0,2,27.701,83333,8152,0,72,2,381.286
27.4025,0,3,37.581,83333,8154,0,71,3,36.3884
27.355,0,0,51.096,83333,8129,0,66,0,1504.19
27.0478,0,2,30.824,83333,8152,0,71,2,1279.18
28.2519,0,3,29.851,83333,8191,0,70,3,50.1213
25.9597,0,3,35.058,83333,8154,0,66,3,2027.33
29.4271,0,1,31.757,83333,8128,0,70,1,2188.55
27.1226,0,1,32.634,83333,8172,0,72,1,2024.59
16.8635,0,7,69.757,83333,8145,0,51,6,1249.43
29.0212,0,0,27.563,83333,8160,0,74,0,117.039
28.9627,0,3,33.143,83333,8137,0,70,3,2073.75
29.1257,0,2,26.322,83333,8186,0,70,2,2474.86
29.7549,0,1,26.212,83333,8168,0,72,1,89.6663
27.1367,0,6,30.411,83333,8084,0,65,6,2250
30.2689,0,1,28.047,83333,8136,0,75,1,1920.7
27.9507,0,2,31.976,83333,8120,0,73,2,982.52
31.0012,0,1,31.931,83333,8185,0,69,1,485.197
32.4699,0,1,23.939,83333,8148,0,78,1,2853.49
31.7579,0,1,36.412,83333,8178,0,78,1,4298.95
29.756,0,1,29.724,83333,8114,0,71,1,384.046
29.3018,0,0,28.009,83333,8143,0,68,0,1673.5
29.8955,0,1,34.263,83333,8186,0,68,1,3686.84
25.8654,0,10,31.165,83333,8119,0,72,3,105.915
23.3614,0,3,35.643,83333,8156,0,63,3,105.904
23.2793,0,5,34.377,83333,8191,0,71,5,37.0406
26.7985,0,1,26.581,83333,8191,0,67,1,261.824
26.3436,0,2,35.288,83333,8152,0,67,2,168.558
18.692,0,8,43.52,83333,8141,0,55,8,3453.6
23.0483,0,3,42.049,83333,8175,0,62,3,302.359
21.5925,0,4,35.97,83333,8148,0,65,4,860.589
22.9787,0,3,51.777,83333,8191,0,64,3,1943.31
19.997,0,1,37.536,83333,8161,0,63,1,4002.57
22.6969,0,1,31.661,83333,8122,0,63,1,2163.83
22.9424,0,0,36.503,83333,8173,0,71,0,1352.74
24.2541,0,5,48.562,83333,8180,0,64,5,3956.58
20.5773,0,3,43.709,83333,8174,0,60,3,3068.84
26.2727,0,13,26.51,83333,8130,0,70,2,205.902
25.1894,0,1,31.574,83333,8124,0,71,1,1771.7
21.6035,0,1,51.549,83333,8179,0,65,1,2849.83
27.4841,0,0,40.047,83333,8111,0,74,0,772.577
28.6147,0,1,42.304,83333,8158,0,66,1,2233.57
26.0747,0,1,50.892,83333,8143,0,74,1,1825.44
19.6939,0,5,35.396,83333,8160,0,63,5,45.0428
27.9286,0,1,28.283,83333,8160,0,69,1,1444.36
28.9185,0,0,27.986,83333,8167,0,72,0,36.8776
28.6856,0,0,45.181,83333,8142,0,70,0,2150.66
26.7637,0,0,37.627,83333,8191,0,66,0,2267.53
27.3437,0,1,36.6,83333,8163,0,65,1,1808.52
27.8218,0,2,34.342,83333,8150,0,80,2,497.078
31.4068,0,2,25.803,83333,8191,0,79,2,2081.99
29.16,0,3,36.331,83333,8163,0,76,3,2252.33
23.4203,0,1,31.862,83333,8146,0,65,1,2799.91
27.5419,0,2,32.048,83333,8156,0,77,2,2766.49
25.5281,0,3,47.13,83333,8148,0,65,3,300.67
27.9388,0,1,30.105,83333,8190,0,74,1,853.833
26.541,0,3,27.539,83333,8165,0,69,3,2988.12
26.0752,0,2,32.674,83333,8164,0,73,2,2448.54
24.8056,0,3,36.195,83333,8124,0,61,3,36.3068
27.0435,0,1,27.067,83333,8138,0,70,1,1094.31
26.3567,0,1,32.795,83333,8176,0,65,1,4187.39
26.926,0,0,33.214,83333,8174,0,67,0,1601.08
31.4434,0,1,33.646,83333,8156,0,79,1,468.75
27.8328,0,0,29.146,83333,8154,0,66,0,2712.25
26.3892,0,3,30.948,83333,8191,0,71,3,3863.93
29.6272,0,0,26.973,83333,8191,0,70,0,1905.69
28.6021,0,2,25.827,83333,8191,0,67,2,1150.71
31.5723,0,0,29.392,83333,8168,0,72,0,2712.05
27.6935,0,1,36.846,83333,8191,0,66,1,2141.29
26.5518,0,2,37.515,83333,8191,0,64,2,3486.93
26.7729,0,1,30.997,83333,8135,0,69,1,2241.74
26.4472,0,3,28.937,83333,8155,0,68,3,507.154
25.7723,0,0,41.858,83333,8154,0,65,0,3694.07
30.1978,0,0,38.667,83333,8126,0,76,0,1201.06
21.7312,0,2,32.054,83333,8152,0,63,2,1424.61
27.3106,0,0,29.428,83333,8177,0,74,0,2143.74
21.2554,0,1,45.37,83333,8074,0,62,1,2182.23
24.4449,0,1,33.642,83333,8154,0,66,1,1872.77
27.4135,0,1,37.655,83333,8144,0,71,1,1958.44
22.7548,0,4,36.665,83333,8118,0,67,4,3550.49
25.1528,0,1,30.547,83333,8169,0,58,1,2106.84
30.1402,0,0,31.581,83333,8143,0,79,0,3381.64
29.1598,0,1,32.384,83333,8165,0,70,1,369.789
23.5128,0,3,34.682,83333,8189,0,68,3,129.374
27.4273,0,0,32.292,83333,8167,0,68,0,238.33
25.2141,0,1,55.257,83333,8152,0,64,1,2419.81
25.5978,0,1,29.942,83333,8165,0,72,1,535.039
23.1641,0,4,47.916,83333,8186,0,65,4,1646.7
28.8131,0,2,31.171,83333,8162,0,70,2,3557.15
30.5725,0,1,25.1,83333,8141,0,72,1,2051.98
30.2814,0,2,26.016,83333,8144,0,69,2,4093.5
