SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
1601,2.44745,99,0,0,0,58.259,762,8190,0,0,760,0,6.06134,0,0,0,0
1951,3.2144,126,0,1,0,199.684,1497,8189,1,0,735,1,9.83856,1,1,1,0
1965,3.23763,169,0,2,0,85.021,2201,8187,2,0,704,2,5.83722,3,3,3,0
1852,3.05161,205,0,1,0,114.26,3048,8189,1,0,847,1,9.17442,4,4,4,0
1970,3.24602,177,0,0,0,106.769,4050,8189,0,0,1002,0,9.10355,4,4,4,0
1933,3.18477,295,0,0,0,91.552,4963,8191,0,0,913,0,8.74429,4,4,4,0
2017,3.32337,548,0,1,0,126.869,5715,8191,1,0,752,1,14.2667,5,5,5,0
1974,3.25256,112,0,0,0,62.625,6791,8189,0,0,1076,0,4.96707,5,5,5,0
1763,2.90489,282,0,0,0,113.16,7591,8189,0,0,800,0,9.80066,5,5,5,0
1912,3.15031,319,0,1,0,132.432,8401,8189,1,0,810,1,3.57286,6,6,6,0
1809,2.98067,211,0,1,0,109.138,9219,8191,1,0,818,1,6.40578,7,7,7,0
1918,3.15953,401,0,0,0,139.001,10089,8189,0,0,870,0,55.0152,7,7,7,0
1759,2.89822,256,0,0,0,136.036,11015,8189,0,0,926,0,5.53234,7,7,7,0
1782,2.93628,296,0,0,0,149.809,11891,8191,0,0,876,0,3.72942,7,7,7,0
1700,2.80098,121,0,0,0,72.528,12835,8189,0,0,944,0,5.59826,7,7,7,0
1797,2.96073,136,0,0,0,64.786,13730,8189,0,0,895,0,36.6713,7,7,7,0
1867,3.07604,248,0,0,0,90.51,14612,8187,0,0,882,0,13.2219,7,7,7,0
1775,2.92454,183,0,1,0,92.046,15393,8189,1,0,781,1,18.5532,8,8,8,0
1915,3.15511,205,0,2,0,82.707,16093,8191,2,0,700,2,6.36622,10,10,10,0
1871,3.08292,278,0,2,0,58.897,16864,8189,2,0,771,2,86.6123,12,12,12,0
1640,2.70217,125,0,947,0,45.355,202,8187,113,0,374,0,6.37117,125,12,959,0
1897,3.12577,383,0,0,0,242.863,474,8189,0,0,747,0,36.0879,125,12,959,0
1704,2.8078,266,0,0,0,69.876,475,8191,0,0,880,0,4.90115,125,12,959,0
1890,3.11395,234,0,0,0,114.714,477,8187,0,0,964,0,68.6639,125,12,959,0
1857,3.05956,122,0,0,0,54.106,479,8189,0,0,991,0,59.8471,125,12,959,0
1809,2.98072,155,0,2,0,100.025,481,8191,2,0,796,2,6.92654,127,14,961,0
1869,3.07962,249,0,1,0,87.94,483,8189,1,0,745,1,12.2479,128,15,962,0
1876,3.09106,336,0,0,0,168.653,485,8189,0,0,898,0,26.4982,128,15,962,0
1895,3.12227,99,0,0,0,50.035,487,8189,0,0,984,0,8.71133,128,15,962,0
1860,3.06459,300,0,1,0,114.308,488,8189,1,0,760,1,14.6178,129,16,963,0
1836,3.02499,298,0,0,0,103.791,490,8189,0,0,859,0,37.1591,129,16,963,0
1671,2.75332,136,0,1,0,70.379,492,8189,1,0,832,1,7.82306,130,17,964,0
1877,3.09255,284,0,1,0,118.752,493,8189,1,0,716,1,8.42787,131,18,965,0
1793,2.95433,323,0,0,0,149.52,495,8189,0,0,884,0,8.7723,131,18,965,0
1822,3.00216,176,0,1,0,117.053,496,8189,1,0,812,1,107.132,132,19,966,0
1953,3.21798,87,0,1,0,64.875,498,8189,1,0,877,1,7.61211,133,20,967,0
1857,3.05959,236,0,1,0,125.543,500,8189,1,0,810,1,13.8152,134,21,968,0
1867,3.07521,476,0,0,0,206.928,501,8187,0,0,786,0,5.39885,134,21,968,0
1827,3.01039,467,0,0,0,145.102,503,8189,0,0,812,0,8.97336,134,21,968,0
1957,3.2246,481,0,1,0,160.342,504,8187,1,0,725,1,7.18858,135,22,969,0
1881,3.09913,121,0,1,0,59.354,506,8189,1,0,913,1,43.0589,136,23,970,0
1880,3.09759,277,0,1,0,96.115,508,8189,1,0,793,1,16.4421,137,24,971,0
1926,3.17327,127,0,0,0,58.89,510,8169,0,0,1045,0,69.506,137,24,971,0
1917,3.15859,143,0,0,0,65.208,512,8189,0,0,900,0,5.20603,137,24,971,0
1950,3.21299,226,0,0,0,154.416,513,8187,0,0,857,0,7.25614,137,24,971,0
1902,3.13383,514,0,0,0,228.032,515,8189,0,0,761,0,10.4994,137,24,971,0
1844,3.03827,510,0,0,0,143.989,516,8187,0,0,785,0,7.50005,137,24,971,0
1885,3.10595,300,0,0,0,145.883,518,8189,0,0,870,0,22.9121,137,24,971,0
1712,2.82092,162,0,0,0,111.986,520,8189,0,0,929,0,5.31974,137,24,971,0
1848,3.04479,267,0,0,0,205.502,521,8189,0,0,848,0,7.84778,137,24,971,0
1943,3.20148,325,0,0,0,131.86,523,8189,0,0,948,0,12.3336,137,24,971,0
1808,2.97899,268,0,1,0,143.414,525,8189,1,0,889,1,6.00366,138,25,972,0
1895,3.12236,334,0,0,0,152.228,527,8189,0,0,921,0,6.06134,138,25,972,0
1731,2.85221,280,0,0,0,153.541,528,8189,0,0,876,0,4.74459,138,25,972,0
1965,3.23759,187,0,1,0,87.705,530,8189,1,0,889,1,55.6958,139,26,973,0
1946,3.20641,211,0,0,0,109.85,532,8189,0,0,966,0,5.04618,139,26,973,0
1866,3.07443,262,0,0,0,148.293,533,8189,0,0,895,0,4.7825,139,26,973,0
1731,2.85199,130,0,1,0,64.937,535,8189,1,0,877,1,4.4941,140,27,974,0
2022,3.33174,154,0,0,0,116.988,537,8189,0,0,941,0,7.06333,140,27,974,0
1944,3.20322,281,0,0,0,188.08,538,8189,0,0,883,0,5.4829,140,27,974,0
1873,3.08613,317,0,1,0,97.777,540,8189,1,0,756,1,17.477,141,28,975,0
1970,3.24599,217,0,2,0,72.271,541,8191,2,0,810,2,8.18397,143,30,977,0
2015,3.31801,131,0,1,0,59.192,543,8189,1,0,1055,1,4.31941,144,31,978,0
1039,1.71186,544,0,0,0,153.572,544,8191,0,0,243,0,3.69976,144,31,978,0
1446,2.3826,104,0,544,0,155.441,273,8189,119,0,620,0,5.00333,263,31,1522,0
2005,3.30355,242,0,0,0,139.481,276,8189,0,0,939,0,6.82931,263,31,1522,0
1727,2.8455,145,0,2,0,57.19,279,8189,2,0,743,2,10.2308,265,33,1524,0
1904,3.13712,151,0,0,0,94.729,282,8189,0,0,953,0,6.93643,265,33,1524,0
1781,2.93434,283,0,2,0,109.191,285,8189,2,0,717,2,8.73605,267,35,1526,0
1756,2.89305,126,0,2,0,55.075,287,8189,2,0,744,2,5.65594,269,37,1528,0
1858,3.0612,288,0,0,0,98.984,290,8189,0,0,855,0,7.06827,269,37,1528,0
1919,3.1617,278,0,0,0,143.315,294,8187,0,0,969,0,5.66088,269,37,1528,0
1903,3.13452,295,0,0,0,154.786,297,8189,0,0,948,0,4.62264,269,37,1528,0
1919,3.16197,278,0,0,0,151.957,300,8189,0,0,972,0,6.26075,269,37,1528,0
1866,3.07449,162,0,0,0,111.406,303,8189,0,0,994,0,6.99741,269,37,1528,0
1814,2.98883,150,0,1,0,91.075,306,8189,1,0,836,1,7.09794,270,38,1529,0
1945,3.20359,308,0,0,0,85.312,309,8189,0,0,900,0,7.40941,270,38,1529,0
1788,2.94318,236,0,1,0,143.752,312,8187,1,0,782,1,14.654,271,39,1530,0
1601,2.63795,174,0,1,0,86.382,314,8189,1,0,680,1,15.4385,272,40,1531,0
1876,3.08975,102,0,1,0,185.719,316,7876,1,0,823,1,7.81482,273,41,1532,0
1798,2.96252,148,0,0,0,63.009,319,8189,0,0,879,0,7.63848,273,41,1532,0
1874,3.08779,167,0,1,0,107.982,322,8189,1,0,848,1,8.79867,274,42,1533,0
2075,3.41858,322,0,0,0,153.803,325,8189,0,0,964,0,11.124,274,42,1533,0
1736,2.86042,139,0,2,0,48.706,327,8187,2,0,742,2,10.0825,276,44,1535,0
1875,3.08926,279,0,0,0,118.549,330,8189,0,0,872,0,14.4793,276,44,1535,0
1916,3.15685,140,0,0,0,53.796,333,8189,0,0,1031,0,6.24427,276,44,1535,0
1863,3.06959,146,0,1,0,58.712,335,8189,1,0,866,1,4.94894,277,45,1536,0
1978,3.25743,336,0,0,0,146.906,338,8189,0,0,899,0,4.63912,277,45,1536,0
1810,2.98238,286,0,0,0,187.927,341,8187,0,0,927,0,6.3481,277,45,1536,0
1917,3.1577,211,0,0,0,113.246,344,8189,0,0,977,0,5.7235,277,45,1536,0
1904,3.13696,150,0,0,0,124.182,346,8189,0,0,987,0,5.30821,277,45,1536,0
1825,3.00697,132,0,1,0,60.981,349,8189,1,0,855,1,6.20472,278,46,1537,0
1939,3.19292,142,0,2,0,61.674,351,8189,2,0,797,2,5.52574,280,48,1539,0
1873,3.08607,145,0,2,0,68.805,353,8189,2,0,712,2,64.5357,282,50,1541,0
1902,3.13391,352,0,0,0,127.894,356,8189,0,0,821,0,7.47038,282,50,1541,0
1987,3.27254,211,0,0,0,100.446,358,8189,0,0,1020,0,33.2517,282,50,1541,0
1796,2.95901,176,0,0,0,87.616,361,8187,0,0,921,0,5.38237,282,50,1541,0
1910,3.14682,153,0,0,0,54.388,364,8189,0,0,974,0,19.4925,282,50,1541,0
2021,3.32913,306,0,0,0,141.774,366,8189,0,0,937,0,13.6553,282,50,1541,0
1935,3.18826,245,0,0,0,129.707,369,8189,0,0,1002,0,5.79272,282,50,1541,0
1770,2.91627,169,0,0,0,105.818,371,8185,0,0,926,0,5.49278,282,50,1541,0
1819,2.99707,174,0,1,0,78.593,373,8187,1,0,736,1,8.34712,283,51,1542,0
1939,3.19494,111,0,1,0,93.039,376,8189,1,0,926,1,6.76998,284,52,1543,0
1920,3.16357,217,0,0,0,57.461,378,8189,0,0,909,0,10.0775,284,52,1543,0
1836,3.0251,121,0,0,0,72.203,381,8177,0,0,972,0,6.39918,284,52,1543,0
1940,3.19631,304,0,0,0,151.105,383,8189,0,0,852,0,4.94894,284,52,1543,0
1817,2.99388,282,0,2,0,112.884,385,8187,2,0,636,2,6.3448,286,54,1545,0
2046,3.37122,332,0,0,0,90.78,387,8189,0,0,1001,0,31.9366,286,54,1545,0
1873,3.08624,232,0,0,0,92.939,390,8189,0,0,992,0,6.99246,286,54,1545,0
1856,3.05828,259,0,0,0,97.953,392,8185,0,0,921,0,7.39293,286,54,1545,0
1998,3.29177,253,0,1,0,104.965,394,8189,1,0,855,1,50.3118,287,55,1546,0
2065,3.40252,310,0,0,0,159.454,397,8189,0,0,954,0,13.4048,287,55,1546,0
1645,2.7103,292,0,0,0,125.827,399,8189,0,0,837,0,7.50664,287,55,1546,0
1879,3.09595,214,0,0,0,77.475,401,8189,0,0,949,0,6.32008,287,55,1546,0
1962,3.23269,270,0,0,0,90.716,404,8189,0,0,957,0,4.79568,287,55,1546,0
1860,3.06467,127,0,0,0,83.859,406,8189,0,0,1007,0,8.47402,287,55,1546,0
1952,3.21634,188,0,0,0,119.494,408,8189,0,0,951,0,6.09101,287,55,1546,0
1974,3.25253,271,0,0,0,176.452,411,8183,0,0,947,0,6.81942,287,55,1546,0
2029,3.34322,291,0,0,0,197.852,413,8189,0,0,915,0,6.55904,287,55,1546,0
1998,3.29214,139,0,0,0,56.399,416,8189,0,0,1079,0,5.86358,287,55,1546,0
2015,3.3199,307,0,0,0,98.791,418,8189,0,0,926,0,7.92688,287,55,1546,0
2081,3.42862,420,0,1,0,62.609,420,8189,1,0,929,1,5.3939,288,56,1547,0
2048,3.3743,422,0,0,0,72.773,422,8189,0,0,1027,0,3.65691,288,56,1547,0
2155,3.55047,101,0,1,0,203.295,425,8191,1,0,1064,1,10.5076,289,57,1548,0
1938,3.193,271,0,1,0,122.03,427,8191,1,0,770,1,8.88931,290,58,1549,0
2010,3.31164,217,0,0,0,107.827,429,8187,0,0,1035,0,12.3946,290,58,1549,0
1888,3.11092,254,0,0,0,55.936,431,8187,0,0,931,0,10.1088,290,58,1549,0
2048,3.37433,345,0,0,0,186.247,434,8189,0,0,984,0,9.46282,290,58,1549,0
1906,3.14051,183,0,0,0,220.318,436,8190,0,0,963,0,6.53926,290,58,1549,0
1881,3.09927,291,0,0,0,48.87,438,8189,0,0,892,0,5.95587,290,58,1549,0
1857,3.05972,224,0,0,0,99.262,440,8189,0,0,971,0,4.18592,290,58,1549,0
2087,3.43862,378,0,0,0,69.803,442,8189,0,0,972,0,7.33195,290,58,1549,0
2165,3.56704,298,0,0,0,77.862,445,8189,0,0,1127,0,24.4151,290,58,1549,0
2068,3.40753,418,0,0,0,167.741,447,8189,0,0,977,0,4.85171,290,58,1549,0
2035,3.35309,331,0,0,0,152.28,449,8187,0,0,1015,0,5.3115,290,58,1549,0
2224,3.66455,451,0,0,0,115.209,452,8189,0,0,1023,0,30.7863,290,58,1549,0
2357,3.88362,362,0,0,0,174.833,454,8189,0,0,1199,0,10.5027,290,58,1549,0
1755,2.89187,153,0,2,0,96.876,456,8189,2,0,692,2,5.88995,292,60,1551,0
1951,3.21477,208,0,0,0,161.494,458,8189,0,0,889,0,7.77526,292,60,1551,0
1982,3.26584,112,0,1,0,50.764,460,8189,1,0,922,1,7.13419,293,61,1552,0
1871,3.08267,112,0,1,0,88.533,461,8189,1,0,739,1,9.96051,294,62,1553,0
1937,3.19133,366,0,0,0,198.8,463,8187,0,0,763,0,12.2331,294,62,1553,0
2017,3.32313,328,0,0,0,134.561,465,8189,0,0,1003,0,19.5716,294,62,1553,0
2058,3.39077,382,0,0,0,142.58,467,8189,0,0,1009,0,14.6178,294,62,1553,0
1358,2.23741,468,0,0,0,205.615,468,8191,0,0,581,0,10.6049,294,62,1553,0
1440,2.37251,232,0,468,0,123.935,235,8189,104,0,558,0,21.4454,398,62,2021,0
1903,3.13542,237,0,1,0,118.529,238,8189,1,0,848,1,5.15165,399,63,2022,0
1827,3.01037,220,0,1,0,116.019,242,8189,1,0,818,1,10.0726,400,64,2023,0
1983,3.2674,202,0,0,0,97.921,246,8187,0,0,1007,0,5.59331,400,64,2023,0
2024,3.33482,121,0,0,0,59.681,250,8189,0,0,1055,0,11.1701,400,64,2023,0
1813,2.98705,168,0,1,0,84.128,254,8189,1,0,828,1,4.85666,401,65,2024,0
1914,3.15374,255,0,0,0,52.917,257,8189,0,0,921,0,6.95456,401,65,2024,0
1985,3.27076,261,0,0,0,87.776,261,8189,0,0,994,0,14.1003,401,65,2024,0
1873,3.08601,220,0,0,0,164.736,265,8187,0,0,963,0,16.1455,401,65,2024,0
2055,3.38596,266,0,0,0,131.046,268,8187,0,0,1009,0,25.1205,401,65,2024,0
2074,3.41743,199,0,0,0,127.391,272,8189,0,0,1074,0,10.0512,401,65,2024,0
1994,3.2855,272,0,0,0,136.983,276,8189,0,0,967,0,4.95389,401,65,2024,0
