SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
171,0.235733,11,0,7,0,35.166,11,8189,7,0,84,0,1.63646,7,0,7,0
219,0.360741,14,0,12,0,27.262,14,8187,12,0,112,0,1.71062,19,0,19,0
632,1.04114,28,0,0,0,52.687,28,8189,0,0,315,0,1.99738,19,0,19,0
1174,1.9342,93,0,0,0,60.756,93,8189,0,0,561,0,2.97134,19,0,19,0
1510,2.48795,155,0,1,0,88.362,230,8189,1,0,691,1,3.42125,20,1,20,0
1502,2.47477,110,0,3,0,82.64,296,8189,3,0,548,3,3.82171,23,4,23,0
1567,2.5817,338,0,4,0,106.571,338,8190,4,0,416,4,11.0037,27,8,27,0
1516,2.49765,119,0,3,0,142.184,373,8181,3,0,390,3,3.93048,30,11,30,0
1539,2.53563,133,0,5,0,128.621,406,8189,5,0,401,5,68.837,35,16,35,0
1522,2.50748,170,0,4,0,97.079,440,8187,4,0,454,4,3.68987,39,20,39,0
1504,2.47804,122,0,2,0,75.896,485,8187,2,0,648,2,21.1554,41,22,41,0
1614,2.65907,194,0,2,0,147.244,520,8189,2,0,553,2,15.1171,43,24,43,0
1503,2.47634,158,0,2,0,152.772,553,8189,2,0,542,2,3.0076,45,26,45,0
1529,2.51924,136,0,3,0,135.907,580,8189,3,0,478,3,7.03202,48,29,48,0
1517,2.49935,217,0,3,0,139.755,611,8189,3,0,591,3,6.9249,51,32,51,0
1531,2.52237,204,0,3,0,112.738,638,8189,3,0,510,3,3.63549,54,35,54,0
1495,2.46325,120,0,5,0,93.814,661,8187,5,0,487,5,4.13318,59,40,59,0
1430,2.35595,171,0,3,0,106.801,686,8190,3,0,514,3,2.90378,62,43,62,0
1650,2.71855,141,0,4,0,168.533,708,8189,4,0,482,4,4.06726,66,47,66,0
1559,2.56863,145,0,2,0,79.505,736,8189,2,0,630,2,4.05738,68,49,68,0
1458,2.40213,143,0,2,0,98.723,760,8189,2,0,574,2,13.3241,70,51,70,0
1475,2.4301,268,0,4,0,104.044,781,8189,4,0,505,4,4.98685,74,55,74,0
1535,2.52906,225,0,3,0,153.887,803,8189,3,0,540,3,3.5053,77,58,77,0
1442,2.37574,126,0,4,0,86.546,822,8189,4,0,483,4,3.16086,81,62,81,0
1555,2.56173,250,0,4,0,102.824,840,8189,4,0,463,4,14.2849,85,66,85,0
1601,2.63783,176,0,5,0,99.556,856,8189,5,0,414,5,2.7637,90,71,90,0
1575,2.59455,218,0,2,0,73.841,876,8189,2,0,563,2,3.90906,92,73,92,0
1483,2.4433,121,0,2,0,62.143,898,8187,2,0,607,2,4.17438,94,75,94,0
1615,2.66085,277,0,5,0,93.537,913,8191,5,0,417,5,11.0894,99,80,99,0
1506,2.48124,165,0,1,0,128.381,935,8189,1,0,638,1,6.05475,100,81,100,0
1439,2.37089,109,0,1,0,84.242,955,8189,1,0,598,1,3.64702,101,82,101,0
1567,2.58184,89,0,4,0,78.473,974,8187,4,0,577,4,4.06891,105,86,105,0
1649,2.7168,359,0,1,0,283.269,992,8189,1,0,549,1,4.48256,106,87,106,0
1635,2.69372,174,0,4,0,79.965,1010,8189,4,0,542,4,3.69317,110,91,110,0
1557,2.56522,136,0,2,0,65.015,1024,8189,2,0,455,2,4.07386,112,93,112,0
1548,2.55033,122,0,5,0,132.276,1036,8189,5,0,372,5,5.74328,117,98,117,0
1456,2.39883,214,0,2,0,120.117,1052,8187,2,0,530,2,5.12693,119,100,119,0
