SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
146,1.30038,12,0,0,0,35.587,12,8189,0,0,73,0,9.61906,0,0,0,0
392,3.78086,23,0,0,0,39.762,23,8189,0,0,198,0,9.48398,0,0,0,0
512,4.93845,32,0,0,0,42.529,32,8189,0,0,261,0,14.6167,0,0,0,0
668,6.44311,75,0,3,0,102.18,81,8190,3,0,268,3,17.4725,3,3,3,0
758,7.31185,139,0,4,0,99.686,143,8189,4,0,216,4,15.6105,7,7,7,0
204,1.96765,157,0,158,0,142.123,2,8190,59,0,65,1,14.6843,66,8,165,0
55,0.530554,7,0,0,0,86.112,7,8189,1,0,27,0,10.9215,67,8,165,0
326,3.14442,19,0,0,0,33.15,19,8189,0,0,164,0,10.7768,67,8,165,0
510,4.91914,30,0,0,0,41.761,30,8185,0,0,260,0,11.6548,67,8,165,0
621,5.98979,55,0,0,0,47.467,61,8189,0,0,304,0,18.2926,67,8,165,0
634,6.11516,126,0,6,0,137.522,128,8190,6,0,197,6,13.9221,73,14,171,0
737,7.10857,90,0,7,0,79.154,171,8189,7,0,203,7,10.7382,80,21,178,0
281,2.71027,15,0,150,0,61.039,15,8189,58,0,111,0,18.4566,138,21,328,0
427,4.11886,25,0,0,0,38.807,25,8189,0,0,216,0,17.2892,138,21,328,0
492,4.7459,33,0,0,0,65.84,33,8189,0,0,247,0,11.0084,138,21,328,0
467,4.50465,58,0,2,0,46.536,65,8189,2,0,190,2,9.34891,140,23,330,0
697,6.7231,91,0,6,0,129.805,137,8189,6,0,226,6,13.7966,146,29,336,0
655,6.31822,153,0,7,0,192.965,169,8158,7,0,153,7,17.569,153,36,343,0
151,1.45652,9,0,169,0,41.96,9,8189,59,0,38,0,17.3085,212,36,512,0
378,3.64593,21,0,0,0,41.75,21,8189,0,0,191,0,14.1054,212,36,512,0
510,4.91922,31,0,0,0,54.314,31,8189,0,0,259,0,12.3687,212,36,512,0
598,5.76828,70,0,0,0,70.446,70,8189,0,0,286,0,13.9607,212,36,512,0
651,6.27947,93,0,5,0,131.259,134,8189,5,0,206,5,14.0475,217,41,517,0
715,6.89647,55,0,9,0,105.064,165,8189,9,0,144,9,13.2564,226,50,526,0
703,6.78063,151,0,21,0,102.688,178,8173,21,0,67,21,12.5906,247,71,547,0
509,4.90945,3,0,212,0,89.884,3,8190,140,0,24,30,11.2592,387,101,759,0
228,2.19914,15,0,0,0,30.759,15,8191,0,0,119,0,12.8704,387,101,759,0
471,4.54296,26,0,0,0,40.094,26,8189,0,0,238,0,14.6939,387,101,759,0
524,5.05417,35,0,0,0,49.273,35,8189,0,0,262,0,15.2824,387,101,759,0
674,6.50091,99,0,2,0,89.462,102,8189,2,0,238,2,12.7643,389,103,761,0
677,6.53031,108,0,5,0,160.436,157,8101,5,0,222,5,16.0446,394,108,766,0
363,3.5015,3,0,177,0,143.769,3,8190,77,0,12,18,17.0384,471,126,943,0
205,1.97738,14,0,0,0,38.968,14,8190,0,0,103,0,11.0952,471,126,943,0
394,3.80027,24,0,0,0,30.477,24,8189,0,0,198,0,15.2052,471,126,943,0
564,5.44032,34,0,0,0,49.04,34,8190,0,0,283,0,18.6592,471,126,943,0
660,6.36567,84,0,1,0,108.168,102,8124,1,0,272,1,13.9896,472,127,944,0
455,4.38862,10,0,124,0,47.577,10,8189,78,0,110,4,13.8545,550,131,1068,0
283,2.72979,16,0,0,0,38.994,19,8189,0,0,145,0,12.6389,550,131,1068,0
414,3.99323,28,0,0,0,72.895,28,8189,0,0,207,0,12.6099,550,131,1068,0
548,5.2857,36,0,1,0,65.968,36,8189,1,0,277,1,11.1048,551,132,1069,0
524,5.05417,57,0,3,0,128.736,95,8191,3,0,159,3,10.2848,554,135,1072,0
724,6.98376,90,0,3,0,111.949,155,8191,3,0,236,3,16.8454,557,138,1075,0
732,7.06085,68,0,11,0,101.253,179,8191,11,0,127,11,14.2212,568,149,1086,0
706,6.81,86,0,14,0,118.428,198,8191,14,0,109,14,16.9612,582,163,1100,0
737,7.10881,116,0,12,0,82.358,212,8189,12,0,90,12,15.5429,594,175,1112,0
270,2.60422,10,0,214,0,36.482,10,8189,60,0,52,2,11.9442,654,177,1326,0
334,3.22153,21,0,0,0,49.677,21,8191,0,0,169,0,11.6837,654,177,1326,0
527,5.08316,31,0,0,0,35.894,31,8189,0,0,267,0,13.5844,654,177,1326,0
624,6.019,68,0,0,0,73.099,77,8189,0,0,304,0,17.897,654,177,1326,0
475,4.58159,2,0,124,0,105.996,2,8076,68,0,115,9,18.0804,722,186,1450,0
140,1.35035,12,0,0,0,39.225,12,8191,0,0,74,0,15.8806,722,186,1450,0
326,3.14438,22,0,0,0,44.082,22,8191,0,0,165,0,13.0537,722,186,1450,0
406,3.91604,29,0,0,0,53.156,29,8189,0,0,205,0,11.8574,722,186,1450,0
595,5.73897,52,0,1,0,70.916,52,8189,1,0,294,1,13.951,723,187,1451,0
658,6.34659,80,0,5,0,76.223,112,8189,5,0,153,5,11.3943,728,192,1456,0
644,6.21175,133,0,5,0,116.349,161,8115,5,0,211,5,11.2399,733,197,1461,0
737,7.10894,95,0,8,0,84.919,190,8159,8,0,159,8,15.3017,741,205,1469,0
549,5.29496,195,0,206,0,76.897,2,8159,69,0,28,11,15.9481,810,216,1675,0
156,1.50469,13,0,0,0,31.399,13,8187,0,0,83,0,16.2762,810,216,1675,0
329,3.1733,22,0,0,0,47.427,22,8189,0,0,169,0,17.9935,810,216,1675,0
534,5.15057,32,0,0,0,52.425,32,8189,0,0,267,0,9.37786,810,216,1675,0
561,5.41115,66,0,1,0,53.074,68,8189,1,0,251,1,9.37786,811,217,1676,0
660,6.36632,116,0,8,0,128.247,124,8189,8,0,168,8,9.1463,819,225,1684,0
658,6.34666,88,0,9,0,90.807,154,8190,9,0,129,9,13.1502,828,234,1693,0
682,6.57818,99,0,11,0,137.751,184,8189,11,0,161,11,16.4016,839,245,1704,0
671,6.47198,104,0,4,0,168.09,211,8189,4,0,169,4,16.1411,843,249,1708,0
656,6.32765,101,0,7,0,94.271,234,8190,7,0,157,7,15.842,850,256,1715,0
505,4.87089,242,0,11,0,116.922,242,8190,11,0,63,11,15.1956,861,267,1726,0
206,1.98695,12,0,242,0,39.956,12,8191,59,0,76,0,13.4107,920,267,1968,0
378,3.64595,23,0,0,0,33.457,23,8189,0,0,191,0,10.3716,920,267,1968,0
591,5.7004,33,0,0,0,39.422,33,8189,0,0,298,0,14.5878,920,267,1968,0
610,5.88349,89,0,2,0,85.729,89,8190,2,0,255,2,16.2762,922,269,1970,0
333,3.2119,16,0,89,0,34.277,16,8189,87,0,138,0,12.8029,1009,269,2059,0
495,4.7748,27,0,0,0,41.958,27,8189,0,0,249,0,10.1111,1009,269,2059,0
532,5.13143,36,0,0,0,59.236,36,8189,0,0,268,0,9.48398,1009,269,2059,0
650,6.27003,74,0,1,0,91.891,123,8191,1,0,279,1,11.9442,1010,270,2060,0
761,7.34031,124,0,9,0,111.918,147,8189,9,0,103,9,13.0152,1019,279,2069,0
658,6.34684,71,0,7,0,114.266,173,8191,7,0,131,7,15.2535,1026,286,2076,0
613,5.91292,193,0,15,0,135.116,193,8175,15,0,112,14,14.3273,1041,300,2091,0
111,1.07064,7,0,196,0,60.941,7,8189,62,0,23,3,16.1122,1103,303,2287,0
232,2.23787,16,0,0,0,51.491,16,8191,0,0,117,0,16.1025,1103,303,2287,0
482,4.6493,27,0,0,0,37.845,27,8189,0,0,243,0,13.1502,1103,303,2287,0
577,5.56528,36,0,0,0,52.415,36,8189,0,0,291,0,11.0566,1103,303,2287,0
642,6.19216,97,0,3,0,96.602,102,8191,3,0,186,3,12.5038,1106,306,2290,0
241,2.32455,10,0,113,0,47.589,10,8189,63,0,87,1,16.0736,1169,307,2403,0
342,3.29872,21,0,0,0,48.457,21,8191,0,0,173,0,16.1218,1169,307,2403,0
476,4.59158,30,0,0,0,55.216,30,8191,0,0,242,0,13.3432,1169,307,2403,0
531,5.12201,48,0,0,0,57.254,48,8189,0,0,264,0,15.8131,1169,307,2403,0
629,6.06695,115,0,5,0,86.96,115,8191,5,0,172,5,18.9583,1174,312,2408,0
764,7.36893,108,0,3,0,79.445,177,8183,3,0,282,3,14.8,1177,315,2411,0
685,6.60696,66,0,12,0,108.4,193,8189,12,0,96,12,15.9771,1189,327,2423,0
687,6.62629,154,0,10,0,106.895,215,8191,10,0,138,10,15.514,1199,337,2433,0
748,7.21517,136,0,9,0,104.216,234,8191,9,0,136,9,17.733,1208,346,2442,0
679,6.54918,157,0,7,0,90.446,252,8190,7,0,131,7,16.5656,1215,353,2449,0
733,7.07003,83,0,10,0,118.607,264,8189,10,0,103,10,14.5588,1225,363,2459,0
649,6.25967,75,0,10,0,93.463,277,8191,10,0,106,10,12.7161,1235,373,2469,0
730,7.04102,120,0,10,0,100.912,293,8191,10,0,146,10,15.0316,1245,383,2479,0
618,5.96076,297,0,36,0,100.725,297,8185,36,0,39,36,17.3085,1281,419,2515,0
296,2.85511,10,0,299,0,39.657,10,8189,198,0,50,2,12.552,1479,421,2814,0
290,2.79714,20,0,0,0,30.317,20,8191,0,0,147,0,10.7961,1479,421,2814,0
517,4.98635,30,0,0,0,38.653,30,8189,0,0,260,0,13.1792,1479,421,2814,0
558,5.38194,47,0,0,0,37.673,47,8189,0,0,275,0,10.9312,1479,421,2814,0
367,3.53995,10,0,88,0,31.386,10,8191,62,0,135,1,11.3364,1541,422,2902,0
394,3.80051,17,0,0,0,40.018,22,8189,0,0,199,0,12.4845,1541,422,2902,0
474,4.57214,31,0,0,0,48.584,31,8189,0,0,240,0,14.964,1541,422,2902,0
623,6.00913,72,0,0,0,73.868,76,8191,0,0,297,0,13.2949,1541,422,2902,0
564,5.43964,128,0,5,0,132.648,128,8191,5,0,165,5,12.9573,1546,427,2907,0
662,6.38556,110,0,8,0,137.998,164,8156,8,0,164,8,13.5458,1554,435,2915,0
469,4.52393,3,0,176,0,99.389,3,8189,70,0,12,11,11.7609,1624,446,3091,0
190,1.83211,14,0,0,0,51.791,14,8191,0,0,94,0,10.7382,1624,446,3091,0
389,3.75207,24,0,0,0,42.92,24,8189,0,0,197,0,9.3875,1624,446,3091,0
472,4.55209,32,0,0,0,69.823,32,8189,0,0,239,0,8.74109,1624,446,3091,0
582,5.61365,65,0,2,0,76.975,72,8123,2,0,245,2,9.30067,1626,448,3093,0
613,5.91256,123,0,6,0,109.311,123,8190,6,0,154,6,15.6298,1632,454,3099,0
353,3.40487,6,0,138,0,103.433,6,8191,98,0,66,4,15.5815,1730,458,3237,0
315,3.0382,18,0,0,0,42.209,18,8189,0,0,156,0,14.9737,1730,458,3237,0
568,5.47663,30,0,0,0,44.35,30,8189,0,0,285,0,13.8642,1730,458,3237,0
604,5.8229,51,0,1,0,55.631,51,8189,1,0,275,1,13.102,1731,459,3238,0
656,6.32789,123,0,5,0,113.678,123,8190,5,0,197,5,12.7257,1736,464,3243,0
647,6.24076,87,0,11,0,73.974,158,8189,11,0,154,11,16.6621,1747,475,3254,0
706,6.80979,169,0,13,0,120.453,192,8170,13,0,186,13,16.7682,1760,488,3267,0
156,1.50466,8,0,197,0,38.822,8,8190,63,0,37,5,16.1604,1823,493,3464,0
349,3.36625,20,0,0,0,37.448,20,8189,0,0,177,0,15.0509,1823,493,3464,0
440,4.24394,29,0,0,0,76.478,29,8191,0,0,221,0,13.4204,1823,493,3464,0
594,5.72923,46,0,0,0,45.523,46,8189,0,0,295,0,13.4686,1823,493,3464,0
666,6.42376,73,0,4,0,148.091,126,8191,4,0,214,4,14.0571,1827,497,3468,0
655,6.31765,86,0,8,0,110.646,152,8189,8,0,117,8,14.5878,1835,505,3476,0
646,6.23089,100,0,17,0,89.676,178,8191,16,0,130,17,14.8676,1851,522,3493,0
407,3.92567,4,0,198,0,91.874,4,8189,76,0,29,15,15.0605,1927,537,3691,0
298,2.87432,17,0,0,0,31.99,17,8189,0,0,151,0,8.86651,1927,537,3691,0
517,4.98661,28,0,0,0,42.177,28,8189,0,0,259,0,9.10771,1927,537,3691,0
489,4.71652,36,0,0,0,46.138,36,8189,0,0,248,0,13.0248,1927,537,3691,0
392,3.78096,8,0,72,0,35.011,8,8189,66,0,149,2,13.0634,1993,539,3763,0
392,3.78118,21,0,0,0,34.236,21,8189,0,0,194,0,11.7899,1993,539,3763,0
510,4.91934,31,0,0,0,52.002,31,8189,0,0,255,0,11.8284,1993,539,3763,0
644,6.21161,62,0,0,0,46.392,80,8190,0,0,313,0,11.703,1993,539,3763,0
740,7.13747,118,0,2,0,128.015,159,8191,2,0,297,2,13.1116,1995,541,3765,0
665,6.41409,92,0,5,0,128.676,197,8149,5,0,211,5,18.5628,2000,546,3770,0
368,3.5495,6,0,210,0,47.07,6,8190,72,0,26,12,18.3794,2072,558,3980,0
318,3.06723,19,0,0,0,46.516,19,8189,0,0,162,0,17.4629,2072,558,3980,0
476,4.59121,29,0,0,0,53.937,29,8189,0,0,239,0,13.8835,2072,558,3980,0
584,5.63322,37,0,0,0,66.897,37,8189,0,0,293,0,13.5458,2072,558,3980,0
672,6.48176,110,0,113,0,93.664,2,8190,96,0,173,4,17.0963,2168,562,4093,0
243,2.34384,15,0,0,0,25.061,15,8191,17,0,116,0,18.6013,2185,562,4093,0
504,4.86146,27,0,0,0,35.369,27,8191,0,0,252,0,16.9901,2185,562,4093,0
543,5.2374,35,0,0,0,47.145,35,8189,0,0,273,0,9.98568,2185,562,4093,0
685,6.60707,97,0,1,0,102.188,119,8189,1,0,277,1,12.6099,2186,563,4094,0
654,6.30801,68,0,4,0,95.716,161,8191,4,0,186,4,16.2955,2190,567,4098,0
629,6.0672,107,0,16,0,116.014,179,8171,16,0,96,16,14.8483,2206,583,4114,0
251,2.42104,7,0,191,0,46.104,7,8189,70,0,30,11,13.0055,2276,594,4305,0
291,2.80681,18,0,0,0,39.07,18,8190,0,0,148,0,12.224,2276,594,4305,0
451,4.35007,28,0,0,0,34.995,28,8189,0,0,227,0,12.1372,2276,594,4305,0
549,5.29526,36,0,0,0,46.165,36,8189,0,0,278,0,16.4016,2276,594,4305,0
609,5.8742,107,0,4,0,91.305,107,8189,4,0,198,4,17.9839,2280,598,4309,0
681,6.56853,128,0,16,0,101.475,128,8189,16,0,77,16,16.006,2296,614,4325,0
311,2.99979,7,0,139,0,27.775,9,8189,68,0,52,8,15.6973,2364,622,4464,0
345,3.3275,20,0,0,0,42.796,20,8189,0,0,174,0,16.884,2364,622,4464,0
417,4.02195,29,0,0,0,69.363,29,8189,0,0,212,0,19.3346,2364,622,4464,0
575,5.54637,37,0,1,0,67.119,37,8155,1,0,273,1,15.2728,2365,623,4465,0
678,6.54006,75,0,3,0,119.956,120,8189,3,0,222,3,16.0929,2368,626,4468,0
669,6.44728,81,0,10,0,106.412,157,8154,10,0,160,10,18.1093,2378,636,4478,0
198,1.9099,6,0,163,0,54.785,6,8189,64,0,21,6,16.3244,2442,642,4641,0
289,2.78752,18,0,0,0,33.413,18,8189,0,0,147,0,13.1599,2442,642,4641,0
435,4.1961,27,0,0,0,45.055,27,8189,0,0,220,0,12.5231,2442,642,4641,0
634,6.11517,37,0,0,0,46.693,37,8189,0,0,320,0,16.9515,2442,642,4641,0
670,6.4628,69,0,5,0,80.482,111,8189,5,0,182,5,13.8159,2447,647,4646,0
703,6.78044,137,0,3,0,164.848,164,8189,3,0,229,3,13.8352,2450,650,4649,0
706,6.80965,125,0,8,0,93.294,193,8191,8,0,163,8,13.594,2458,658,4657,0
682,6.57836,90,0,11,0,101.997,207,8189,11,0,87,11,15.6105,2469,669,4668,0
679,6.54932,144,0,7,0,122.315,230,8191,7,0,156,7,16.2376,2476,676,4675,0
744,7.17624,120,0,5,0,118.322,252,8189,5,0,171,5,16.9998,2481,681,4680,0
692,6.67453,70,0,5,0,114.473,278,8189,5,0,214,5,16.6042,2486,686,4685,0
444,4.28252,6,0,120,0,64.827,6,8189,92,0,73,9,17.3085,2578,695,4805,0
248,2.39202,17,0,0,0,37.955,17,8191,0,0,128,0,17.1252,2578,695,4805,0
519,5.00578,28,0,0,0,40.839,28,8189,0,0,261,0,14.1729,2578,695,4805,0
572,5.51735,37,0,0,0,60.03,37,8189,0,0,289,0,12.552,2578,695,4805,0
582,5.61428,98,0,6,0,120.32,98,8162,6,0,152,6,15.9867,2584,701,4811,0
707,6.81921,91,0,10,0,124.822,144,8189,10,0,175,10,17.376,2594,711,4821,0
642,6.19234,105,0,23,0,98.082,157,8191,23,0,61,22,16.691,2617,733,4844,0
567,5.46891,11,0,167,0,57.116,11,8191,79,0,115,9,12.5328,2696,742,5011,0
369,3.55917,22,0,0,0,39.224,22,8187,0,0,187,0,14.2983,2696,742,5011,0
483,4.65869,31,0,0,0,39.233,31,8189,0,0,245,0,14.1922,2696,742,5011,0
599,5.77756,59,0,1,0,65.658,61,8189,1,0,262,1,16.0736,2697,743,5012,0
688,6.63583,124,0,5,0,109.969,133,8190,5,0,220,5,11.8284,2702,748,5017,0
719,6.93499,139,0,8,0,102.706,168,8191,8,0,164,8,8.57707,2710,756,5025,0
756,7.29257,68,0,2,0,127.303,217,8189,2,0,297,2,14.308,2712,758,5027,0
671,6.47257,58,0,6,0,93.9,245,8189,6,0,200,6,13.7773,2718,764,5033,0
720,6.9448,84,0,4,0,117.797,269,8189,4,0,192,4,17.6848,2722,768,5037,0
635,6.12494,92,0,28,0,91.173,279,8189,28,0,89,27,17.8102,2750,795,5065,0
765,7.37849,87,0,12,0,140.739,294,8189,12,0,131,12,13.9896,2762,807,5077,0
345,3.32773,297,0,12,0,186.742,297,8162,12,0,27,12,14.2019,2774,819,5089,0
151,1.45655,9,0,297,0,44.683,9,8191,59,0,47,0,14.7132,2833,819,5386,0
296,2.8552,20,0,0,0,45.251,20,8189,0,0,153,0,16.199,2833,819,5386,0
496,4.78404,30,0,0,0,43.764,30,8189,0,0,249,0,14.7904,2833,819,5386,0
