SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
291,3.12633,61,0,6,0,96.471,61,8191,6,0,59,6,10.4366,6,6,6,0,0,1,-1135730477180656
352,4.09883,91,0,21,0,143.102,96,8191,21,0,35,21,8.92237,27,27,27,0,0,1,2925156822
126,1.46731,106,0,21,0,140.038,106,8190,21,0,10,20,8.00218,48,47,48,0,0,1,928780384
98,1.1412,40,0,106,0,140.162,3,8125,98,0,1,0,7.90899,146,47,154,0,1,1,3402893214
117,1.36257,20,0,41,0,60.101,20,8189,41,0,31,1,5.96378,187,48,195,0,2,1,4128834136
277,3.225,25,0,3,0,72.196,25,8189,3,0,108,3,3.99526,190,51,198,0,2,1,2806853294
281,3.27225,29,0,5,0,72.776,29,8190,5,0,106,5,3.96032,195,56,203,0,2,1,2639120750
283,3.29555,32,0,4,0,86.478,32,8191,4,0,105,4,4.0768,199,60,207,0,2,1,2646725620
307,3.57506,35,0,3,0,84.665,35,8191,3,0,99,3,4.76403,202,63,210,0,2,1,3083468500
305,3.55175,38,0,6,0,96.051,38,8190,6,0,103,6,6.06861,208,69,216,0,2,1,2717534162
286,3.33051,40,0,6,0,97.573,40,8191,6,0,93,6,5.03194,214,75,222,0,2,1,2856534310
243,2.82972,42,0,4,0,99.324,42,8190,4,0,67,4,4.56602,218,79,226,0,2,1,2695451332
257,2.99277,43,0,6,0,122.929,43,8191,6,0,68,6,4.11174,224,85,232,0,2,1,2426183046
293,3.41211,45,0,6,0,138.471,45,8146,6,0,63,6,3.2032,230,91,238,0,2,1,3276599186
300,3.49331,47,0,8,0,122.64,47,8189,8,0,87,8,3.69242,238,99,246,0,2,1,2748643282
21,0.244547,47,0,2,0,125.17,47,8172,2,0,1,2,3.68077,240,101,248,0,2,1,434816676
238,2.77176,25,0,48,0,61.862,25,8189,48,0,76,1,3.85549,288,102,296,0,3,1,5210352168
280,3.25781,29,0,4,0,84.35,29,8191,4,0,109,4,4.03021,292,106,300,0,3,1,2762926488
257,2.9928,31,0,4,0,92.555,31,8191,4,0,77,4,4.46118,296,110,304,0,3,1,2827625402
278,3.23736,34,0,6,0,98.138,34,8191,6,0,93,6,4.70579,302,116,310,0,3,1,2794086484
294,3.42368,37,0,3,0,103.436,37,8191,3,0,120,3,5.2416,305,119,313,0,3,1,2781706802
2,0.0232902,37,0,2,0,103.436,37,8191,2,0,0,2,5.2416,307,121,315,0,3,1,0
230,2.67836,21,0,38,0,62.741,21,8189,38,0,90,1,5.07853,345,122,353,0,4,1,5294774114
232,2.70166,25,0,3,0,79.016,25,8191,3,0,87,3,5.36973,348,125,356,0,4,1,2985391738
287,3.34222,29,0,4,0,97.671,29,8189,4,0,111,4,5.16006,352,129,360,0,4,1,2852815854
269,3.13256,31,0,4,0,84.83,31,8191,4,0,69,4,3.55264,356,133,364,0,4,1,2851133894
284,3.30721,34,0,4,0,84.904,34,8189,4,0,99,4,2.45773,360,137,368,0,4,1,2687757870
305,3.55209,38,0,6,0,91.457,38,8191,6,0,121,6,3.77395,366,143,374,0,4,1,2744314352
304,3.54027,40,0,9,0,110.148,40,8189,9,0,95,9,4.03021,375,152,383,0,4,1,2937965146
253,2.94621,42,0,7,0,126.932,42,8189,7,0,91,7,5.41632,382,159,390,0,4,1,2532043766
345,4.01756,44,0,9,0,103.428,44,8191,9,0,94,9,5.78906,391,168,399,0,4,1,3072194398
279,3.24906,46,0,7,0,94.025,46,8190,7,0,80,7,5.40467,398,175,406,0,4,1,2627460374
299,3.48182,48,0,8,0,130.144,48,8191,8,0,71,8,5.27654,406,183,414,0,4,1,2775654098
310,3.6102,49,0,6,0,133.761,49,8191,6,0,89,6,5.28819,412,189,420,0,4,1,2729859678
112,1.30374,50,0,4,0,124.166,50,8168,4,0,22,4,5.13677,416,193,424,0,4,1,1266007750
154,1.79333,25,0,51,0,68.19,25,8189,51,0,36,1,5.02029,467,194,475,0,5,1,4532039526
279,3.24911,29,0,4,0,85.394,29,8189,4,0,105,4,4.70579,471,198,479,0,5,1,2843203552
267,3.10951,31,0,7,0,84.021,31,8164,7,0,80,7,4.55437,478,205,486,0,5,1,2794236158
277,3.22518,34,0,6,0,99.6,34,8179,6,0,96,6,4.71744,484,211,492,0,5,1,2783995480
303,3.52844,38,0,5,0,113.611,38,8191,5,0,118,5,4.76403,489,216,497,0,5,1,2679735380
242,2.81812,39,0,6,0,94.523,39,8180,6,0,61,6,5.77741,495,222,503,0,5,1,2611740712
330,3.84259,41,0,5,0,110.05,41,8189,5,0,96,5,5.5095,500,227,508,0,5,1,3093843886
303,3.52842,44,0,7,0,104.551,44,8191,7,0,95,7,4.42624,507,234,515,0,5,1,2755951702
236,2.74795,45,0,2,0,130.236,45,8191,2,0,58,2,5.39302,509,236,517,0,5,1,2749457494
284,3.30727,46,0,8,0,132.12,46,8189,8,0,65,8,5.87059,517,244,525,0,5,1,2619316644
313,3.64507,48,0,6,0,111.244,48,8191,6,0,93,6,5.57939,523,250,531,0,5,1,2976408092
268,3.12107,50,0,5,0,137.317,50,8191,5,0,65,4,5.73082,528,254,536,0,5,1,2868614154
319,3.71491,52,0,6,0,120.819,52,8190,6,0,114,6,5.81235,534,260,542,0,5,1,2675256178
269,3.13254,53,0,3,0,122.462,53,8191,3,0,86,3,5.69587,537,263,545,0,5,1,2676029482
288,3.35379,54,0,7,0,143.017,54,8190,7,0,49,7,6.3831,544,270,552,0,5,1,2980053972
303,3.52841,56,0,10,0,152.178,56,8189,10,0,74,10,5.05523,554,280,562,0,5,1,2812583424
54,0.62883,56,0,3,0,156.187,56,8161,3,0,12,3,4.62426,557,283,565,0,5,1,1042772808
196,2.28243,29,0,56,0,64.879,29,8189,56,0,60,0,5.2649,613,283,621,0,6,1,4547499908
260,3.02772,32,0,2,0,92.177,32,8191,2,0,104,2,5.8473,615,285,623,0,6,1,2823000922
254,2.95786,34,0,5,0,98.903,34,8191,5,0,81,5,5.13677,620,290,628,0,6,1,2758096502
301,3.50539,37,0,9,0,98.291,37,8189,9,0,96,9,4.57766,629,299,637,0,6,1,2844805754
282,3.28392,39,0,7,0,114.826,39,8189,7,0,91,7,4.03021,636,306,644,0,6,1,2704429378
66,0.76857,40,0,3,0,104.959,40,8189,3,0,32,3,3.97197,639,309,647,0,6,1,587451088
172,2.00308,22,0,40,0,68.136,22,8190,40,0,62,0,3.68077,679,309,687,0,7,1,5078933678
213,2.48058,25,0,3,0,63.307,25,8191,3,0,75,3,4.16998,682,312,690,0,7,1,2797154584
