SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
486,2.55496,90,0,5,0,85.109,90,8189,5,0,140,5,4.81774,5,5,5,0
396,2.23587,11,0,111,0,101.054,11,8191,85,0,48,8,4.45627,90,13,116,0
483,2.72742,60,0,5,0,113.818,75,8189,5,0,128,5,4.79515,95,18,121,0
506,2.85705,63,0,9,0,105.354,87,8191,9,0,91,9,6.54038,104,27,130,0
550,3.10521,40,0,6,0,147.083,96,8191,6,0,171,6,6.96398,110,33,136,0
637,3.59631,57,0,5,0,134.707,100,8189,5,0,174,5,6.32011,115,38,141,0
582,3.28629,65,0,27,0,85.782,101,8169,27,0,57,27,8.4833,142,65,168,0
547,3.08863,101,0,20,0,100.504,101,8174,20,0,56,20,7.74341,162,85,188,0
505,2.85147,102,0,13,0,140.154,102,8189,13,0,113,13,7.15602,175,98,201,0
613,3.46136,81,0,5,0,122.411,103,8189,5,0,119,5,6.2128,180,103,206,0
549,3.10006,105,0,22,0,104.771,105,8183,22,0,75,22,5.73272,202,125,228,0
382,2.15693,69,0,114,0,71.873,69,8189,67,0,107,9,6.30882,269,134,342,0
525,2.96439,67,0,13,0,126.885,88,8191,13,0,122,13,6.0829,282,147,355,0
562,3.17345,94,0,14,0,112.759,95,8189,14,0,103,14,4.77821,296,161,369,0
550,3.10556,98,0,11,0,122.738,98,8191,11,0,90,11,5.77226,307,172,380,0
465,2.62559,64,0,99,0,92.306,76,8191,59,0,156,0,6.65899,366,172,479,0
559,3.15639,88,0,15,0,92.499,88,8179,15,0,128,15,7.00352,381,187,494,0
573,3.23538,94,0,5,0,160.897,94,8189,5,0,165,5,6.96398,386,192,499,0
616,3.47829,65,0,11,0,85.512,96,8191,11,0,108,11,6.7663,397,203,510,0
541,3.05498,84,0,16,0,109.387,97,8191,16,0,102,16,5.52939,413,219,526,0
397,2.24182,97,0,122,0,111.302,2,8191,83,0,25,24,5.86827,496,243,648,0
342,1.93111,68,0,5,0,76.001,68,8190,6,0,114,5,7.28027,502,248,653,0
559,3.15639,84,0,5,0,118.153,84,8189,5,0,129,5,7.08824,507,253,658,0
449,2.53526,3,0,95,0,105.887,3,8102,64,0,85,6,6.82843,571,259,753,0
442,2.49574,15,0,70,0,83.431,3,8139,70,0,131,4,6.7663,641,263,823,0
500,2.82325,46,0,0,0,62.885,46,8191,0,0,235,0,6.17891,641,263,823,0
481,2.71596,58,0,5,0,91.759,61,8155,5,0,155,5,5.46726,646,268,828,0
522,2.94747,65,0,7,0,129.459,65,8191,7,0,136,7,4.49581,653,275,835,0
498,2.81181,54,0,3,0,85.579,68,8189,3,0,195,3,4.40544,656,278,838,0
520,2.93614,76,0,6,0,113.016,76,8190,6,0,153,6,5.20181,662,284,844,0
452,2.55231,96,0,6,0,126.559,96,8190,6,0,138,6,6.65334,668,290,850,0
433,2.44492,67,0,97,0,101.409,71,8189,60,0,134,1,6.46131,728,291,947,0
515,2.90793,84,0,4,0,120.634,85,8189,4,0,138,4,5.20746,732,295,951,0
500,2.82319,90,0,12,0,94.447,90,8189,12,0,100,12,5.83438,744,307,963,0
578,3.26375,93,0,8,0,120.592,93,8191,8,0,146,8,5.41078,752,315,971,0
586,3.30904,63,0,16,0,74.013,94,8189,16,0,85,16,4.97024,768,331,987,0
564,3.18461,95,0,16,0,97.54,95,8191,16,0,63,16,4.9307,784,347,1003,0
488,2.7555,95,0,27,0,101.915,95,8191,27,0,42,27,5.13968,811,374,1030,0
349,1.97063,33,0,108,0,60.277,33,8191,71,0,54,13,5.58022,882,387,1138,0
545,3.0774,57,0,6,0,95.082,78,8189,6,0,161,6,5.54069,888,393,1144,0
543,3.06608,71,0,4,0,110.987,88,8191,4,0,150,4,6.04336,892,397,1148,0
356,2.01012,14,0,95,0,105.372,14,8189,64,0,92,5,6.20715,956,402,1243,0
478,2.69907,33,0,70,0,50.252,33,8190,67,0,140,5,5.63106,1023,407,1313,0
360,2.03269,22,0,34,0,41.637,22,8189,34,0,159,1,5.06626,1057,408,1347,0
510,2.8799,31,0,0,0,51.398,31,8189,0,0,257,0,5.81179,1057,408,1347,0
508,2.86844,39,0,0,0,77.647,39,8189,0,0,258,0,8.77699,1057,408,1347,0
521,2.94185,67,0,4,0,79.222,67,8189,4,0,183,4,8.72616,1061,412,1351,0
558,3.1507,79,0,6,0,110.949,115,8189,6,0,139,6,6.44437,1067,418,1357,0
590,3.33131,105,0,26,0,97.888,122,8169,26,0,28,26,6.15632,1093,444,1383,0
300,1.69405,30,0,142,0,79.543,30,8191,109,0,35,16,6.61946,1202,460,1525,0
557,3.1453,86,0,6,0,126.648,90,8189,6,0,140,6,5.54634,1208,466,1531,0
367,2.07233,4,0,106,0,125.715,4,8190,65,0,63,7,4.51275,1273,473,1637,0
492,2.77828,70,0,6,0,107.335,75,8189,6,0,150,6,5.27523,1279,479,1643,0
517,2.91925,87,0,10,0,105.683,87,8190,10,0,110,10,5.94734,1289,489,1653,0
494,2.78933,90,0,10,0,104.512,90,8191,10,0,67,10,4.92506,1299,499,1663,0
512,2.891,94,0,8,0,132.643,94,8190,8,0,125,8,5.42208,1307,507,1671,0
555,3.13369,69,0,8,0,110.929,96,8189,8,0,95,8,5.11144,1315,515,1679,0
507,2.86298,65,0,6,0,151.178,97,8189,6,0,137,6,6.2128,1321,521,1685,0
572,3.22983,98,0,28,0,75.055,98,8191,28,0,86,28,6.52344,1349,549,1713,0
633,3.57424,61,0,12,0,104.401,99,8140,12,0,107,12,5.68189,1361,561,1725,0
529,2.98697,62,0,12,0,91.337,101,8191,12,0,98,12,5.42208,1373,573,1737,0
435,2.45621,70,0,102,0,98.492,70,8189,101,0,130,8,4.68219,1474,581,1839,0
324,1.82946,36,0,72,0,61.075,36,8190,72,0,97,2,5.0832,1546,583,1911,0
459,2.59173,59,0,3,0,84.142,59,8189,3,0,163,3,4.79515,1549,586,1914,0
550,3.10549,63,0,6,0,94.927,67,8182,6,0,183,6,5.64235,1555,592,1920,0
509,2.87398,68,0,5,0,112.843,69,8189,5,0,141,5,6.91315,1560,597,1925,0
398,2.24747,36,0,73,0,62.818,36,8191,62,0,124,3,4.73302,1622,600,1998,0
519,2.93066,62,0,3,0,95.545,62,8191,3,0,224,3,4.67654,1625,603,2001,0
466,2.63124,35,0,62,0,69.214,35,8189,62,0,190,1,6.73242,1687,604,2063,0
411,2.32069,20,0,51,0,72.795,20,8191,51,0,153,2,6.56298,1738,606,2114,0
413,2.33205,31,0,0,0,69.024,31,8189,0,0,207,0,5.74966,1738,606,2114,0
541,3.05436,42,0,0,0,62.781,42,8187,0,0,272,0,6.46696,1738,606,2114,0
499,2.81777,48,0,3,0,84.975,48,8157,3,0,189,3,6.2128,1741,609,2117,0
360,2.03242,27,0,50,0,44.235,27,8189,50,0,149,1,5.00978,1791,610,2167,0
442,2.49521,33,0,2,0,64.81,33,8189,2,0,197,2,4.02138,1793,612,2169,0
496,2.80068,45,0,0,0,65.773,45,8189,0,0,249,0,6.0603,1793,612,2169,0
491,2.7721,49,0,5,0,73.337,49,8190,5,0,182,5,7.33675,1798,617,2174,0
314,1.77312,28,0,49,0,63.23,28,8191,49,0,128,0,6.34835,1847,617,2223,0
